,station_date,split,pos_lat,pos_lon,pos_height,solution_quality,num_satellites,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,pdop,pos_uncertainty,bds_sat_count_obs,snr_mean,snr_min,snr_max,snr_std,true_h_error_m,reliability_class
2023-12-18 00:00:00,URUM_20231218,test,43.80794229,87.600674197,855.191,5,14,1.7954,1.5062,3.7797,-0.197,0.3585,-0.5358,0.0,0.0,4.447272387655157,2.343522903664481,25,43.2412,33.699,51.906,4.85518175938519,0.8948745645481916,0
2023-12-18 00:00:30,URUM_20231218,test,43.807938457,87.600674578,856.5272,5,14,1.798,1.5068,3.7755,-0.2007,0.3594,-0.543,0.0,0.0,4.444957872691258,2.3459007310625912,25,43.28788,34.051,51.895,4.759615927432241,1.3152445272147848,0
2023-12-18 00:01:00,URUM_20231218,test,43.807943029,87.600676227,855.8844,5,14,1.8006,1.5074,3.7712,-0.2044,0.3603,-0.5504,0.0,0.0,4.442562836921949,2.348279182720828,25,43.31668,33.984,51.938,4.682424138200213,0.8813478012901694,0
2023-12-18 00:01:30,URUM_20231218,test,43.80794059,87.600673727,856.7435,5,14,1.8033,1.508,3.7669,-0.208,0.3612,-0.5578,0.0,0.0,4.440212889040344,2.3507349680472274,25,43.26484000000001,34.191,51.953,4.737311242325827,1.0689820078105798,0
2023-12-18 00:02:00,URUM_20231218,test,43.807939365,87.600674506,856.7574,5,14,1.8059,1.5086,3.7625,-0.2116,0.3621,-0.5652,0.0,0.0,4.437742108324908,2.3531146954621653,25,43.28916,34.469,51.805,4.646808426938501,1.215564041701928,0
2023-12-18 00:02:30,URUM_20231218,test,43.807940729,87.600676563,856.5161,5,14,1.8086,1.5092,3.758,-0.2151,0.3629,-0.5727,0.0,0.0,4.435231966876141,2.355571820174456,25,43.38196,34.699,52.199,4.673067091322357,1.123391287486134,0
2023-12-18 00:03:00,URUM_20231218,test,43.807941186,87.600677278,855.9795,5,14,1.8113,1.5098,3.7534,-0.2186,0.3637,-0.5802,0.0,0.0,4.432642021413415,2.3580296287366704,25,43.2984,34.574,51.965,4.702325816373567,1.101969243908708,0
2023-12-18 00:03:30,URUM_20231218,test,43.807939957,87.600678347,856.2473,5,14,1.8141,1.5105,3.7488,-0.2221,0.3644,-0.5878,0.0,0.0,4.4301321086396515,2.360628954325521,25,43.32244000000001,34.27,52.223,4.712236209062529,1.2628031672719564,0
2023-12-18 00:04:00,URUM_20231218,test,43.80793905,87.600674557,856.8827,5,14,1.8168,1.5111,3.7441,-0.2255,0.3652,-0.5954,0.0,0.0,4.4274677028748615,2.363088117273666,25,43.299,34.242,51.883,4.686673242645932,1.2505933888410845,0
2023-12-18 00:04:30,URUM_20231218,test,43.807940621,87.600671144,857.6062,5,14,1.8196,1.5117,3.7394,-0.2288,0.3659,-0.603,0.0,0.0,4.424849535294957,2.365624875165122,25,43.32656,34.66,51.961,4.533067036418794,1.042961231583529,0
