,station_date,split,pos_lat,pos_lon,pos_height,solution_quality,num_satellites,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,pdop,pos_uncertainty,bds_sat_count_obs,snr_mean,snr_min,snr_max,snr_std,true_h_error_m,reliability_class
2023-12-10 00:09:30,URUM_20231210,train,43.807945413,87.600678553,856.9141,5,14,1.9546,1.4964,4.0746,-0.4539,1.2208,-1.2511,0.0,0.0,4.760466288085654,2.461640534277903,27,42.41603703703704,34.484,51.617,4.939998065099912,0.7921499114206234,0
2023-12-10 00:10:00,URUM_20231210,train,43.80794252,87.600677031,856.8243,5,14,1.9582,1.4967,4.0699,-0.4591,1.2207,-1.2486,0.0,0.0,4.758018930185124,2.4646821559787377,27,42.394444444444446,34.047,51.707,4.963160898315116,0.9622917855585628,0
2023-12-10 00:10:30,URUM_20231210,train,43.807944271,87.600680389,856.5611,5,14,1.9618,1.4971,4.0651,-0.4643,1.2206,-1.2461,0.0,0.0,4.755523699867345,2.4677859814011427,27,42.525592592592595,34.32,51.59,4.89575015277583,0.986641951256012,0
2023-12-10 00:11:00,URUM_20231210,train,43.807943149,87.600672851,857.2257,5,14,1.9654,1.4974,4.0603,-0.4695,1.2204,-1.2438,0.0,0.0,4.753003262149101,2.470830613376805,27,42.54859259259259,34.582,51.68,4.781688262039635,0.7761418930127809,0
2023-12-10 00:11:30,URUM_20231210,train,43.807941132,87.600676427,856.8791,5,14,1.9691,1.4978,4.0555,-0.4747,1.2202,-1.2415,0.0,0.0,4.750562061482831,2.4740169057627717,27,42.48485185185186,34.359,51.559,4.814977439868098,1.0779611229539925,0
2023-12-10 00:12:00,URUM_20231210,train,43.807942273,87.600675481,856.5948,5,14,1.9727,1.4982,4.0506,-0.4798,1.2198,-1.2393,0.0,0.0,4.748000514953637,2.477125053363274,27,42.45155555555556,34.27,51.621,4.874927741739305,0.931411645782786,0
2023-12-10 00:12:30,URUM_20231210,train,43.807939401,87.600674896,857.9848,5,14,1.9765,1.4986,4.0457,-0.485,1.2194,-1.2372,0.0,0.0,4.745528706055838,2.480393962659964,27,42.53329629629629,34.203,51.711,4.846257087174158,1.2193167256867292,0
2023-12-10 00:13:00,URUM_20231210,train,43.807939416,87.600671623,857.3242,5,14,1.9802,1.4989,4.0408,-0.4901,1.219,-1.2352,0.0,0.0,4.742990395309693,2.483524360661679,27,42.4344074074074,34.211,51.457,4.912246323528569,1.1779484461664034,0
2023-12-10 00:13:30,URUM_20231210,train,43.807940407,87.600677346,857.2101,5,14,1.9839,1.4993,4.0359,-0.4953,1.2184,-1.2333,0.0,0.0,4.74049032379563,2.486716650525347,27,42.41218518518519,34.609,51.668,4.9321327500775425,1.1820137314283172,0
2023-12-10 00:14:00,URUM_20231210,train,43.80794224,87.600675823,856.4264,5,14,1.9877,1.4997,4.0309,-0.5004,1.2178,-1.2315,0.0,0.0,4.737953797790772,2.489990236928651,27,42.474296296296295,33.934,51.625,4.93711616085291,0.9456936182359936,0
